Model,Dataset,UseWindowScalar,Epoch,TimeStepNum,LookAheadNum,NetworkType,Features,BatchSize,RMSE,MAPE,R2,TrainingLoss,ValidationLoss
SavedModels/1,Datasets/BTC-2021-minute.csv,False,13,80,1,LSTM,Close-,5000,112.28,0.2,0.999,0.0008671912946738303,3.517596633173525e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,14,80,1,LSTM,Close-,5000,93.07,0.15,1.0,0.0008476025541312993,1.5570642062812112e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,15,80,1,LSTM,Close-,5000,92.89,0.15,1.0,0.0008234106353484094,1.57189933815971e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,16,80,1,LSTM,Close-,5000,86.61,0.14,1.0,0.0008017691434361041,9.187465366267134e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,17,80,1,LSTM,Close-,5000,88.17,0.14,1.0,0.0007744000176899135,1.0471290806890465e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,18,80,1,LSTM,Close-,5000,85.9,0.14,1.0,0.0007513974560424685,8.938523933466058e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,19,80,1,LSTM,Close-,5000,89.3,0.14,1.0,0.0007282795268110931,1.1988739970547613e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,20,80,1,LSTM,Close-,5000,109.39,0.19,0.999,0.0007052611908875406,3.344174911035225e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,21,80,1,LSTM,Close-,5000,85.31,0.14,1.0,0.0006776064983569086,8.693657946423627e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,22,80,1,LSTM,Close-,5000,94.49,0.16,1.0,0.0006534780259244144,1.76298290170962e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,23,80,1,LSTM,Close-,5000,85.3,0.14,1.0,0.0006362278945744038,8.867346878105309e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,24,80,1,LSTM,Close-,5000,87.12,0.14,1.0,0.0006128432578407228,1.0861518603633158e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,25,80,1,LSTM,Close-,5000,101.28,0.17,1.0,0.0005887857987545431,2.3319047613767907e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,26,80,1,LSTM,Close-,5000,88.31,0.14,1.0,0.0005683651543222368,1.230440193467075e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,27,80,1,LSTM,Close-,5000,88.19,0.14,1.0,0.0005470438627526164,1.2162628991063684e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,28,80,1,LSTM,Close-,5000,111.58,0.19,0.999,0.0005257247248664498,3.783147258218378e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,29,80,1,LSTM,Close-,5000,93.25,0.16,1.0,0.0005087301833555102,1.6573010725551285e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,30,80,1,LSTM,Close-,5000,91.3,0.15,1.0,0.0004847678355872631,1.5830953998374753e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,31,80,1,LSTM,Close-,5000,84.97,0.14,1.0,0.00046335780643858016,8.86786529008532e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,32,80,1,LSTM,Close-,5000,99.07,0.17,1.0,0.0004497685586102307,2.4123604816850275e-05
